년월,지점,강수량(mm)
Feb-22,전국,3.5
Mar-22,전국,89.4
Apr-22,전국,59.4
May-22,전국,5.8
Jun-22,전국,184.7
Jul-22,전국,178.4
Aug-22,전국,311.5
Sep-22,전국,150.8
Oct-22,전국,77.6
Nov-22,전국,61.6
Dec-22,전국,15.2
Jan-23,전국,40.5
Feb-23,전국,15.2
Mar-23,전국,28.7
Apr-23,전국,66.3
May-23,전국,193.4
Jun-23,전국,210
Jul-23,전국,506.1
Aug-23,전국,299.6
Sep-23,전국,197.3
Oct-23,전국,17
Nov-23,전국,63.4
Dec-23,전국,102.9
