대구,중구,1,1,3,3,0,33,20,6,6,7,7,8,6,29,17,21,20,25,29,12,6,11,17
대구,군위군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
인천,인천,227,39,139,261,197,191,225,754,1450,1007,765,877,748,838,753,700,848,970,795,494,471,332,429
인천,강화군,28,1,0,1,1,1,1,21,15,0,1,2,6,9,4,9,3,11,10,4,7,10,6
인천,계양구,9,7,2,7,5,3,8,72,277,300,216,55,53,97,71,74,73,96,63,46,42,27,35
인천,미추홀구,27,13,89,79,81,43,39,85,173,159,105,94,107,115,89,108,120,133,93,76,61,40,47
인천,남동구,109,9,24,89,40,57,17,79,105,74,52,62,104,88,140,124,125,161,95,54,52,50,52
인천,동구,1,1,6,24,10,7,27,21,43,33,27,34,19,27,28,18,15,15,22,12,18,4,6
인천,부평구,17,1,7,6,4,23,51,172,397,221,102,164,93,105,94,84,103,133,131,80,102,37,65
인천,서구,26,6,6,24,12,22,44,205,182,117,199,299,147,296,203,157,221,231,229,143,102,109,144
인천,연수구,1,1,4,22,40,30,31,71,222,81,46,158,206,82,107,98,134,150,117,65,68,40,48
인천,옹진군,0,0,0,2,1,0,0,2,2,2,0,1,0,3,2,1,10,4,2,0,1,1,3
인천,중구,9,0,1,7,3,5,7,26,34,20,17,8,13,16,15,27,44,36,33,14,18,14,23
광주,광주,113,20,18,6,12,37,128,44,206,115,61,111,641,3192,1794,1611,816,565,466,331,271,186,223
광주,광산구,69,0,2,0,6,22,39,12,63,37,18,27,29,481,447,181,179,178,150,81,69,56,64
광주,남구,36,8,3,3,1,5,26,6,43,20,16,8,157,742,309,428,231,56,45,34,25,25,16
광주,동구,2,5,1,0,0,2,15,2,13,7,5,4,22,129,162,101,23,21,16,31,15,5,18
광주,북구,1,2,6,1,2,4,45,21,14,6,9,44,55,594,459,287,192,189,149,87,91,53,84
광주,서구,5,5,6,2,3,4,3,3,73,45,13,28,378,1246,417,614,191,121,106,98,71,47,41
대전,대전,54,10,6,45,66,9,64,29,105,199,340,625,1720,436,274,329,459,668,468,266,288,182,194
